location,year,week,total_specimens,total_A,total_B,percent_positive,percent_A,percent_B
Maine,2017,24,X,X,X,X,X,X
Maryland,2017,24,25,0,0,0,0,0
Massachusetts,2017,24,152,0,0,0,0,0
Michigan,2017,24,274,2,0,0.73,0.73,0
Minnesota,2017,24,130,2,0,1.54,1.54,0
Mississippi,2017,24,X,X,X,X,X,X
Missouri,2017,24,367,0,0,0,0,0
Montana,2017,24,70,0,1,1.43,0,1.43
Nebraska,2017,24,57,0,1,1.75,0,1.75
Nevada,2017,24,X,X,X,X,X,X
New Hampshire,2017,24,X,X,X,X,X,X
New Jersey,2017,24,X,X,X,X,X,X
New Mexico,2017,24,139,1,7,5.76,0.72,5.04
New York,2017,24,1050,8,4,1.14,0.76,0.38
North Carolina,2017,24,72,0,0,0,0,0
North Dakota,2017,24,15,0,0,0,0,0
Ohio,2017,24,607,1,2,0.49,0.16,0.33
Oklahoma,2017,24,84,0,0,0,0,0
Oregon,2017,24,X,X,X,X,X,X
Pennsylvania,2017,24,203,0,2,0.99,0,0.99
Rhode Island,2017,24,X,X,X,X,X,X
South Carolina,2017,24,123,1,0,0.81,0.81,0
South Dakota,2017,24,101,0,0,0,0,0
Tennessee,2017,24,56,2,1,5.36,3.57,1.79
Texas,2017,24,903,3,7,1.11,0.33,0.78
Utah,2017,24,380,2,10,3.16,0.53,2.63
Vermont,2017,24,24,0,0,0,0,0
Virginia,2017,24,68,0,0,0,0,0
Washington,2017,24,286,0,5,1.75,0,1.75
West Virginia,2017,24,311,1,2,0.96,0.32,0.64
Wisconsin,2017,24,287,1,0,0.35,0.35,0
Wyoming,2017,24,X,X,X,X,X,X
Puerto Rico,2017,24,X,X,X,X,X,X
Virgin Islands,2017,24,X,X,X,X,X,X
New York City,2017,24,X,X,X,X,X,X
Alabama,2017,25,146,2,4,4.11,1.37,2.74
Alaska,2017,25,X,X,X,X,X,X
Arizona,2017,25,107,1,3,3.74,0.93,2.8
Arkansas,2017,25,26,0,0,0,0,0
California,2017,25,511,4,9,2.54,0.78,1.76
Colorado,2017,25,178,1,0,0.56,0.56,0
Connecticut,2017,25,218,2,0,0.92,0.92,0
Delaware,2017,25,X,X,X,X,X,X
District of Columbia,2017,25,X,X,X,X,X,X
Florida,2017,25,1076,66,58,11.52,6.13,5.39
Georgia,2017,25,234,1,1,0.85,0.43,0.43
Hawaii,2017,25,134,1,5,4.48,0.75,3.73
Idaho,2017,25,X,X,X,X,X,X
Illinois,2017,25,126,0,0,0,0,0
Indiana,2017,25,91,0,0,0,0,0
Iowa,2017,25,53,0,0,0,0,0
Kansas,2017,25,34,1,0,2.94,2.94,0
Kentucky,2017,25,146,0,0,0,0,0
Louisiana,2017,25,266,3,3,2.26,1.13,1.13
Maine,2017,25,X,X,X,X,X,X
Maryland,2017,25,31,0,0,0,0,0
Massachusetts,2017,25,115,3,0,2.61,2.61,0
Michigan,2017,25,242,1,0,0.41,0.41,0
Minnesota,2017,25,125,0,2,1.6,0,1.6
Mississippi,2017,25,13,0,0,0,0,0
Missouri,2017,25,304,0,1,0.33,0,0.33
Montana,2017,25,49,0,0,0,0,0
Nebraska,2017,25,67,0,1,1.49,0,1.49
Nevada,2017,25,X,X,X,X,X,X
New Hampshire,2017,25,X,X,X,X,X,X
New Jersey,2017,25,X,X,X,X,X,X
New Mexico,2017,25,109,0,1,0.92,0,0.92
New York,2017,25,1005,5,5,1,0.5,0.5
North Carolina,2017,25,59,0,0,0,0,0
North Dakota,2017,25,X,X,X,X,X,X
Ohio,2017,25,560,2,6,1.43,0.36,1.07
Oklahoma,2017,25,88,0,1,1.14,0,1.14
Oregon,2017,25,X,X,X,X,X,X
Pennsylvania,2017,25,68,0,0,0,0,0
Rhode Island,2017,25,X,X,X,X,X,X
South Carolina,2017,25,124,1,0,0.81,0.81,0
South Dakota,2017,25,68,0,0,0,0,0
Tennessee,2017,25,36,0,1,2.78,0,2.78
Texas,2017,25,785,5,3,1.02,0.64,0.38
Utah,2017,25,317,0,7,2.21,0,2.21
Vermont,2017,25,12,0,0,0,0,0
Virginia,2017,25,57,0,0,0,0,0
Washington,2017,25,279,1,5,2.15,0.36,1.79
West Virginia,2017,25,261,3,0,1.15,1.15,0
Wisconsin,2017,25,262,4,0,1.53,1.53,0
Wyoming,2017,25,X,X,X,X,X,X
Puerto Rico,2017,25,X,X,X,X,X,X
Virgin Islands,2017,25,X,X,X,X,X,X
New York City,2017,25,X,X,X,X,X,X
Alabama,2017,26,144,2,2,2.78,1.39,1.39
Alaska,2017,26,X,X,X,X,X,X
Arizona,2017,26,107,0,5,4.67,0,4.67
Arkansas,2017,26,33,0,0,0,0,0
California,2017,26,470,8,11,4.04,1.7,2.34
Colorado,2017,26,151,0,0,0,0,0
Connecticut,2017,26,191,0,1,0.52,0,0.52
Delaware,2017,26,X,X,X,X,X,X
District of Columbia,2017,26,X,X,X,X,X,X
Florida,2017,26,908,50,48,10.79,5.51,5.29
Georgia,2017,26,123,2,3,4.07,1.63,2.44
Hawaii,2017,26,106,0,0,0,0,0
Idaho,2017,26,X,X,X,X,X,X
Illinois,2017,26,134,0,0,0,0,0
Indiana,2017,26,83,1,1,2.41,1.2,1.2
Iowa,2017,26,31,1,0,3.23,3.23,0
Kansas,2017,26,28,0,0,0,0,0
Kentucky,2017,26,133,2,0,1.5,1.5,0
Louisiana,2017,26,185,1,1,1.08,0.54,0.54
Maine,2017,26,X,X,X,X,X,X
Maryland,2017,26,27,1,0,3.7,3.7,0
Massachusetts,2017,26,93,1,0,1.08,1.08,0
Michigan,2017,26,261,3,0,1.15,1.15,0
Minnesota,2017,26,122,3,0,2.46,2.46,0
Mississippi,2017,26,X,X,X,X,X,X
Missouri,2017,26,267,0,0,0,0,0
Montana,2017,26,14,0,0,0,0,0
Nebraska,2017,26,39,0,0,0,0,0
Nevada,2017,26,14,0,1,7.14,0,7.14
New Hampshire,2017,26,X,X,X,X,X,X
New Jersey,2017,26,X,X,X,X,X,X
New Mexico,2017,26,119,0,3,2.52,0,2.52
New York,2017,26,912,4,1,0.55,0.44,0.11
North Carolina,2017,26,69,0,1,1.45,0,1.45
North Dakota,2017,26,X,X,X,X,X,X
Ohio,2017,26,504,1,2,0.6,0.2,0.4
Oklahoma,2017,26,101,1,0,0.99,0.99,0
Oregon,2017,26,X,X,X,X,X,X
Pennsylvania,2017,26,62,0,0,0,0,0
Rhode Island,2017,26,X,X,X,X,X,X
South Carolina,2017,26,111,2,2,3.6,1.8,1.8
South Dakota,2017,26,97,0,0,0,0,0
Tennessee,2017,26,44,0,0,0,0,0
Texas,2017,26,632,0,4,0.63,0,0.63
Utah,2017,26,325,3,4,2.15,0.92,1.23
Vermont,2017,26,13,0,0,0,0,0
Virginia,2017,26,56,0,1,1.79,0,1.79
Washington,2017,26,259,5,4,3.47,1.93,1.54
West Virginia,2017,26,208,1,0,0.48,0.48,0
Wisconsin,2017,26,257,1,1,0.78,0.39,0.39
Wyoming,2017,26,X,X,X,X,X,X
Puerto Rico,2017,26,X,X,X,X,X,X
Virgin Islands,2017,26,X,X,X,X,X,X
New York City,2017,26,X,X,X,X,X,X
Alabama,2017,27,198,1,3,2.02,0.51,1.52
Alaska,2017,27,X,X,X,X,X,X
Arizona,2017,27,93,0,1,1.08,0,1.08
Arkansas,2017,27,25,0,0,0,0,0
California,2017,27,416,5,7,2.88,1.2,1.68
Colorado,2017,27,144,0,1,0.69,0,0.69
Connecticut,2017,27,167,0,0,0,0,0
Delaware,2017,27,X,X,X,X,X,X
District of Columbia,2017,27,X,X,X,X,X,X
Florida,2017,27,926,48,44,9.94,5.18,4.75
Georgia,2017,27,190,2,0,1.05,1.05,0
Hawaii,2017,27,136,4,3,5.15,2.94,2.21
Idaho,2017,27,X,X,X,X,X,X
Illinois,2017,27,100,0,1,1,0,1
Indiana,2017,27,66,0,0,0,0,0
Iowa,2017,27,X,X,X,X,X,X
Kansas,2017,27,38,1,0,2.63,2.63,0
Kentucky,2017,27,125,0,0,0,0,0
Louisiana,2017,27,230,1,2,1.3,0.43,0.87
Maine,2017,27,X,X,X,X,X,X
Maryland,2017,27,29,0,0,0,0,0
Massachusetts,2017,27,97,1,0,1.03,1.03,0
Michigan,2017,27,179,1,0,0.56,0.56,0
Minnesota,2017,27,103,1,0,0.97,0.97,0
Mississippi,2017,27,X,X,X,X,X,X
Missouri,2017,27,295,0,0,0,0,0
Montana,2017,27,63,1,1,3.17,1.59,1.59
Nebraska,2017,27,39,0,0,0,0,0
Nevada,2017,27,X,X,X,X,X,X
New Hampshire,2017,27,X,X,X,X,X,X
New Jersey,2017,27,X,X,X,X,X,X
New Mexico,2017,27,X,X,X,X,X,X
New York,2017,27,745,2,1,0.4,0.27,0.13
North Carolina,2017,27,46,0,0,0,0,0
North Dakota,2017,27,X,X,X,X,X,X
Ohio,2017,27,400,0,1,0.25,0,0.25
Oklahoma,2017,27,81,0,0,0,0,0
Oregon,2017,27,X,X,X,X,X,X
Pennsylvania,2017,27,44,0,0,0,0,0
Rhode Island,2017,27,X,X,X,X,X,X
South Carolina,2017,27,76,0,0,0,0,0
South Dakota,2017,27,92,0,1,1.09,0,1.09
Tennessee,2017,27,35,0,0,0,0,0
Texas,2017,27,605,3,4,1.16,0.5,0.66
Utah,2017,27,356,3,5,2.25,0.84,1.4
Vermont,2017,27,19,0,0,0,0,0
Virginia,2017,27,116,0,1,0.86,0,0.86
Washington,2017,27,252,1,3,1.59,0.4,1.19
West Virginia,2017,27,224,0,0,0,0,0
Wisconsin,2017,27,261,0,0,0,0,0
Wyoming,2017,27,X,X,X,X,X,X
Puerto Rico,2017,27,X,X,X,X,X,X
Virgin Islands,2017,27,X,X,X,X,X,X
New York City,2017,27,X,X,X,X,X,X
Alabama,2017,28,167,0,4,2.4,0,2.4
Alaska,2017,28,X,X,X,X,X,X
Arizona,2017,28,89,0,1,1.12,0,1.12
Arkansas,2017,28,33,0,2,6.06,0,6.06
California,2017,28,504,5,3,1.59,0.99,0.6
Colorado,2017,28,138,0,0,0,0,0
Connecticut,2017,28,174,2,0,1.15,1.15,0
Delaware,2017,28,X,X,X,X,X,X
District of Columbia,2017,28,X,X,X,X,X,X
Florida,2017,28,918,59,40,10.78,6.43,4.36
Georgia,2017,28,187,0,2,1.07,0,1.07
Hawaii,2017,28,112,1,2,2.68,0.89,1.79
Idaho,2017,28,X,X,X,X,X,X
Illinois,2017,28,118,1,3,3.39,0.85,2.54
Indiana,2017,28,91,2,1,3.3,2.2,1.1
Iowa,2017,28,X,X,X,X,X,X
Kansas,2017,28,26,0,0,0,0,0
Kentucky,2017,28,145,0,0,0,0,0
Louisiana,2017,28,230,3,3,2.61,1.3,1.3
Maine,2017,28,X,X,X,X,X,X
Maryland,2017,28,26,0,0,0,0,0
Massachusetts,2017,28,69,2,0,2.9,2.9,0
Michigan,2017,28,203,2,0,0.99,0.99,0
Minnesota,2017,28,124,0,0,0,0,0
Mississippi,2017,28,X,X,X,X,X,X
Missouri,2017,28,304,0,0,0,0,0
Montana,2017,28,68,0,0,0,0,0
Nebraska,2017,28,29,0,0,0,0,0
Nevada,2017,28,X,X,X,X,X,X
New Hampshire,2017,28,X,X,X,X,X,X
New Jersey,2017,28,X,X,X,X,X,X
New Mexico,2017,28,64,0,0,0,0,0
New York,2017,28,816,3,2,0.61,0.37,0.25
North Carolina,2017,28,66,0,0,0,0,0
North Dakota,2017,28,X,X,X,X,X,X
Ohio,2017,28,449,2,0,0.45,0.45,0
Oklahoma,2017,28,75,0,0,0,0,0
Oregon,2017,28,X,X,X,X,X,X
Pennsylvania,2017,28,101,0,0,0,0,0
Rhode Island,2017,28,X,X,X,X,X,X
South Carolina,2017,28,97,0,0,0,0,0
South Dakota,2017,28,93,0,0,0,0,0
Tennessee,2017,28,25,0,0,0,0,0
Texas,2017,28,638,4,2,0.94,0.63,0.31
Utah,2017,28,333,1,2,0.9,0.3,0.6
Vermont,2017,28,X,X,X,X,X,X
Virginia,2017,28,120,0,0,0,0,0
Washington,2017,28,200,3,0,1.5,1.5,0
West Virginia,2017,28,222,1,1,0.9,0.45,0.45
Wisconsin,2017,28,270,0,0,0,0,0
Wyoming,2017,28,X,X,X,X,X,X
Puerto Rico,2017,28,X,X,X,X,X,X
Virgin Islands,2017,28,X,X,X,X,X,X
New York City,2017,28,X,X,X,X,X,X
Alabama,2017,29,162,3,2,3.09,1.85,1.23
Alaska,2017,29,X,X,X,X,X,X
Arizona,2017,29,85,0,0,0,0,0
Arkansas,2017,29,32,0,0,0,0,0
California,2017,29,495,6,1,1.41,1.21,0.2
Colorado,2017,29,150,0,1,0.67,0,0.67
Connecticut,2017,29,150,1,0,0.67,0.67,0
Delaware,2017,29,X,X,X,X,X,X
District of Columbia,2017,29,X,X,X,X,X,X
Florida,2017,29,870,47,22,7.93,5.4,2.53
Georgia,2017,29,178,1,1,1.12,0.56,0.56
Hawaii,2017,29,68,0,1,1.47,0,1.47
Idaho,2017,29,X,X,X,X,X,X
Illinois,2017,29,103,0,1,0.97,0,0.97
Indiana,2017,29,79,0,0,0,0,0
Iowa,2017,29,21,0,0,0,0,0
Kansas,2017,29,35,1,1,5.71,2.86,2.86
Kentucky,2017,29,159,0,0,0,0,0
Louisiana,2017,29,218,2,2,1.83,0.92,0.92
Maine,2017,29,X,X,X,X,X,X
Maryland,2017,29,24,0,0,0,0,0
Massachusetts,2017,29,89,0,0,0,0,0
Michigan,2017,29,189,2,1,1.59,1.06,0.53
Minnesota,2017,29,126,0,0,0,0,0
Mississippi,2017,29,12,0,0,0,0,0
Missouri,2017,29,285,0,0,0,0,0
Montana,2017,29,50,0,0,0,0,0
Nebraska,2017,29,50,0,0,0,0,0
Nevada,2017,29,X,X,X,X,X,X
New Hampshire,2017,29,X,X,X,X,X,X
New Jersey,2017,29,X,X,X,X,X,X
New Mexico,2017,29,68,0,0,0,0,0
New York,2017,29,758,3,0,0.4,0.4,0
North Carolina,2017,29,55,0,0,0,0,0
North Dakota,2017,29,X,X,X,X,X,X
Ohio,2017,29,476,12,2,2.94,2.52,0.42
Oklahoma,2017,29,89,0,0,0,0,0
Oregon,2017,29,X,X,X,X,X,X
Pennsylvania,2017,29,94,1,0,1.06,1.06,0
Rhode Island,2017,29,X,X,X,X,X,X
South Carolina,2017,29,102,0,0,0,0,0
South Dakota,2017,29,101,0,0,0,0,0
Tennessee,2017,29,24,0,0,0,0,0
Texas,2017,29,616,5,5,1.62,0.81,0.81
Utah,2017,29,332,2,1,0.9,0.6,0.3
Vermont,2017,29,X,X,X,X,X,X
Virginia,2017,29,120,0,0,0,0,0
Washington,2017,29,230,0,2,0.87,0,0.87
West Virginia,2017,29,185,0,0,0,0,0
Wisconsin,2017,29,245,0,2,0.82,0,0.82
Wyoming,2017,29,X,X,X,X,X,X
Puerto Rico,2017,29,X,X,X,X,X,X
Virgin Islands,2017,29,X,X,X,X,X,X
New York City,2017,29,X,X,X,X,X,X
Alabama,2017,30,124,0,2,1.61,0,1.61
Alaska,2017,30,X,X,X,X,X,X
Arizona,2017,30,79,0,0,0,0,0
Arkansas,2017,30,32,0,0,0,0,0
California,2017,30,430,2,3,1.16,0.47,0.7
Colorado,2017,30,159,3,1,2.52,1.89,0.63
Connecticut,2017,30,183,3,0,1.64,1.64,0
Delaware,2017,30,X,X,X,X,X,X
District of Columbia,2017,30,X,X,X,X,X,X
Florida,2017,30,828,38,25,7.61,4.59,3.02
Georgia,2017,30,176,2,2,2.27,1.14,1.14
Hawaii,2017,30,144,1,4,3.47,0.69,2.78
Idaho,2017,30,X,X,X,X,X,X
Illinois,2017,30,104,0,0,0,0,0
Indiana,2017,30,66,0,2,3.03,0,3.03
Iowa,2017,30,11,0,0,0,0,0
Kansas,2017,30,38,0,0,0,0,0
Kentucky,2017,30,124,1,0,0.81,0.81,0
Louisiana,2017,30,203,5,0,2.46,2.46,0
Maine,2017,30,X,X,X,X,X,X
Maryland,2017,30,29,0,0,0,0,0
Massachusetts,2017,30,96,0,0,0,0,0
Michigan,2017,30,191,1,0,0.52,0.52,0
Minnesota,2017,30,110,1,0,0.91,0.91,0
Mississippi,2017,30,10,0,0,0,0,0
Missouri,2017,30,292,0,0,0,0,0
Montana,2017,30,47,0,0,0,0,0
Nebraska,2017,30,46,1,0,2.17,2.17,0
Nevada,2017,30,X,X,X,X,X,X
New Hampshire,2017,30,X,X,X,X,X,X
New Jersey,2017,30,X,X,X,X,X,X
New Mexico,2017,30,95,0,0,0,0,0
New York,2017,30,750,2,3,0.67,0.27,0.4
North Carolina,2017,30,64,0,0,0,0,0
North Dakota,2017,30,X,X,X,X,X,X
Ohio,2017,30,425,6,5,2.59,1.41,1.18
Oklahoma,2017,30,91,0,0,0,0,0
Oregon,2017,30,X,X,X,X,X,X
Pennsylvania,2017,30,99,0,0,0,0,0
Rhode Island,2017,30,X,X,X,X,X,X
South Carolina,2017,30,81,0,0,0,0,0
South Dakota,2017,30,78,0,0,0,0,0
Tennessee,2017,30,22,0,0,0,0,0
Texas,2017,30,499,2,1,0.6,0.4,0.2
Utah,2017,30,290,1,2,1.03,0.34,0.69
Vermont,2017,30,X,X,X,X,X,X
Virginia,2017,30,96,0,0,0,0,0
Washington,2017,30,214,2,0,0.93,0.93,0
West Virginia,2017,30,166,0,0,0,0,0
Wisconsin,2017,30,219,1,0,0.46,0.46,0
Wyoming,2017,30,X,X,X,X,X,X
Puerto Rico,2017,30,X,X,X,X,X,X
Virgin Islands,2017,30,X,X,X,X,X,X
New York City,2017,30,X,X,X,X,X,X
Alabama,2017,31,155,0,1,0.65,0,0.65
Alaska,2017,31,X,X,X,X,X,X
Arizona,2017,31,77,0,0,0,0,0
Arkansas,2017,31,28,0,0,0,0,0
California,2017,31,393,4,1,1.27,1.02,0.25
Colorado,2017,31,171,0,0,0,0,0
Connecticut,2017,31,164,1,1,1.22,0.61,0.61
Delaware,2017,31,10,0,0,0,0,0
District of Columbia,2017,31,X,X,X,X,X,X
Florida,2017,31,823,53,24,9.36,6.44,2.92
Georgia,2017,31,161,0,0,0,0,0
Hawaii,2017,31,132,0,0,0,0,0
Idaho,2017,31,X,X,X,X,X,X
Illinois,2017,31,76,0,0,0,0,0
Indiana,2017,31,49,0,1,2.04,0,2.04
Iowa,2017,31,X,X,X,X,X,X
Kansas,2017,31,18,0,0,0,0,0
Kentucky,2017,31,109,1,0,0.92,0.92,0
Louisiana,2017,31,252,6,2,3.17,2.38,0.79
Maine,2017,31,X,X,X,X,X,X
Maryland,2017,31,13,0,0,0,0,0
Massachusetts,2017,31,70,1,0,1.43,1.43,0
Michigan,2017,31,195,2,0,1.03,1.03,0
Minnesota,2017,31,130,2,0,1.54,1.54,0
Mississippi,2017,31,X,X,X,X,X,X
Missouri,2017,31,288,1,0,0.35,0.35,0
Montana,2017,31,48,0,0,0,0,0
Nebraska,2017,31,38,1,0,2.63,2.63,0
Nevada,2017,31,X,X,X,X,X,X
New Hampshire,2017,31,X,X,X,X,X,X
New Jersey,2017,31,X,X,X,X,X,X
New Mexico,2017,31,64,0,0,0,0,0
New York,2017,31,738,3,1,0.54,0.41,0.14
North Carolina,2017,31,48,0,0,0,0,0
North Dakota,2017,31,X,X,X,X,X,X
Ohio,2017,31,491,8,0,1.63,1.63,0
Oklahoma,2017,31,86,0,0,0,0,0
Oregon,2017,31,X,X,X,X,X,X
Pennsylvania,2017,31,85,0,0,0,0,0
Rhode Island,2017,31,X,X,X,X,X,X
South Carolina,2017,31,107,0,1,0.93,0,0.93
South Dakota,2017,31,22,1,0,4.55,4.55,0
Tennessee,2017,31,30,0,0,0,0,0
Texas,2017,31,539,6,2,1.48,1.11,0.37
Utah,2017,31,296,3,1,1.35,1.01,0.34
Vermont,2017,31,X,X,X,X,X,X
Virginia,2017,31,102,0,0,0,0,0
Washington,2017,31,189,0,0,0,0,0
West Virginia,2017,31,224,0,0,0,0,0
Wisconsin,2017,31,236,2,0,0.85,0.85,0
Wyoming,2017,31,X,X,X,X,X,X
Puerto Rico,2017,31,X,X,X,X,X,X
Virgin Islands,2017,31,X,X,X,X,X,X
New York City,2017,31,X,X,X,X,X,X
Alabama,2017,32,163,2,2,2.45,1.23,1.23
Alaska,2017,32,X,X,X,X,X,X
Arizona,2017,32,85,0,0,0,0,0
Arkansas,2017,32,25,0,0,0,0,0
California,2017,32,417,5,2,1.68,1.2,0.48
Colorado,2017,32,160,0,0,0,0,0
Connecticut,2017,32,176,2,1,1.7,1.14,0.57
Delaware,2017,32,X,X,X,X,X,X
District of Columbia,2017,32,X,X,X,X,X,X
Florida,2017,32,873,43,40,9.51,4.93,4.58
Georgia,2017,32,229,1,0,0.44,0.44,0
Hawaii,2017,32,106,2,3,4.72,1.89,2.83
Idaho,2017,32,X,X,X,X,X,X
Illinois,2017,32,95,0,0,0,0,0
Indiana,2017,32,51,0,0,0,0,0
Iowa,2017,32,17,0,0,0,0,0
Kansas,2017,32,27,0,0,0,0,0
Kentucky,2017,32,146,0,0,0,0,0
Louisiana,2017,32,287,4,0,1.39,1.39,0
Maine,2017,32,X,X,X,X,X,X
Maryland,2017,32,16,0,0,0,0,0
Massachusetts,2017,32,81,1,0,1.23,1.23,0
Michigan,2017,32,178,2,1,1.69,1.12,0.56
Minnesota,2017,32,124,1,0,0.81,0.81,0
Mississippi,2017,32,X,X,X,X,X,X
Missouri,2017,32,297,0,0,0,0,0
Montana,2017,32,52,0,0,0,0,0
Nebraska,2017,32,35,0,0,0,0,0
Nevada,2017,32,X,X,X,X,X,X
New Hampshire,2017,32,X,X,X,X,X,X
New Jersey,2017,32,X,X,X,X,X,X
New Mexico,2017,32,84,1,0,1.19,1.19,0
New York,2017,32,769,1,1,0.26,0.13,0.13
North Carolina,2017,32,36,0,0,0,0,0
North Dakota,2017,32,X,X,X,X,X,X
Ohio,2017,32,438,2,2,0.91,0.46,0.46
Oklahoma,2017,32,79,0,0,0,0,0
Oregon,2017,32,X,X,X,X,X,X
Pennsylvania,2017,32,77,0,0,0,0,0
Rhode Island,2017,32,X,X,X,X,X,X
South Carolina,2017,32,92,1,0,1.09,1.09,0
South Dakota,2017,32,20,0,0,0,0,0
Tennessee,2017,32,27,1,1,7.41,3.7,3.7
Texas,2017,32,552,2,1,0.54,0.36,0.18
Utah,2017,32,334,1,0,0.3,0.3,0
Vermont,2017,32,13,0,0,0,0,0
Virginia,2017,32,100,0,0,0,0,0
Washington,2017,32,157,1,1,1.27,0.64,0.64
West Virginia,2017,32,214,0,0,0,0,0
Wisconsin,2017,32,202,3,0,1.49,1.49,0
Wyoming,2017,32,X,X,X,X,X,X
Puerto Rico,2017,32,X,X,X,X,X,X
Virgin Islands,2017,32,X,X,X,X,X,X
New York City,2017,32,X,X,X,X,X,X
Alabama,2017,33,172,0,3,1.74,0,1.74
Alaska,2017,33,X,X,X,X,X,X
Arizona,2017,33,100,1,0,1,1,0
Arkansas,2017,33,33,0,0,0,0,0
California,2017,33,415,1,2,0.72,0.24,0.48
Colorado,2017,33,170,0,1,0.59,0,0.59
Connecticut,2017,33,196,0,1,0.51,0,0.51
Delaware,2017,33,X,X,X,X,X,X
District of Columbia,2017,33,X,X,X,X,X,X
Florida,2017,33,895,33,17,5.59,3.69,1.9
Georgia,2017,33,303,1,3,1.32,0.33,0.99
Hawaii,2017,33,116,3,2,4.31,2.59,1.72
Idaho,2017,33,X,X,X,X,X,X
Illinois,2017,33,107,0,0,0,0,0
Indiana,2017,33,85,1,0,1.18,1.18,0
Iowa,2017,33,13,0,0,0,0,0
Kansas,2017,33,38,0,0,0,0,0
Kentucky,2017,33,176,0,0,0,0,0
Louisiana,2017,33,318,6,2,2.52,1.89,0.63
Maine,2017,33,X,X,X,X,X,X
Maryland,2017,33,21,0,1,4.76,0,4.76
Massachusetts,2017,33,89,1,0,1.12,1.12,0
Michigan,2017,33,218,2,0,0.92,0.92,0
Minnesota,2017,33,72,0,0,0,0,0
Mississippi,2017,33,X,X,X,X,X,X
Missouri,2017,33,284,0,0,0,0,0
Montana,2017,33,60,0,0,0,0,0
Nebraska,2017,33,59,0,0,0,0,0
Nevada,2017,33,X,X,X,X,X,X
New Hampshire,2017,33,X,X,X,X,X,X
New Jersey,2017,33,X,X,X,X,X,X
New Mexico,2017,33,50,1,0,2,2,0
New York,2017,33,815,1,0,0.12,0.12,0
North Carolina,2017,33,46,2,0,4.35,4.35,0
North Dakota,2017,33,X,X,X,X,X,X
Ohio,2017,33,530,2,2,0.75,0.38,0.38
Oklahoma,2017,33,96,0,0,0,0,0
Oregon,2017,33,X,X,X,X,X,X
Pennsylvania,2017,33,102,0,0,0,0,0
Rhode Island,2017,33,X,X,X,X,X,X
South Carolina,2017,33,100,0,0,0,0,0
South Dakota,2017,33,36,0,0,0,0,0
Tennessee,2017,33,21,0,0,0,0,0
Texas,2017,33,665,4,6,1.5,0.6,0.9
Utah,2017,33,349,2,0,0.57,0.57,0
Vermont,2017,33,10,0,0,0,0,0
Virginia,2017,33,101,0,0,0,0,0
Washington,2017,33,199,0,0,0,0,0
West Virginia,2017,33,253,0,0,0,0,0
Wisconsin,2017,33,231,0,0,0,0,0
Wyoming,2017,33,X,X,X,X,X,X
Puerto Rico,2017,33,X,X,X,X,X,X
Virgin Islands,2017,33,X,X,X,X,X,X
New York City,2017,33,X,X,X,X,X,X
Alabama,2017,34,293,1,3,1.37,0.34,1.02
Alaska,2017,34,X,X,X,X,X,X
Arizona,2017,34,134,0,0,0,0,0
Arkansas,2017,34,59,0,0,0,0,0
California,2017,34,471,3,3,1.27,0.64,0.64
Colorado,2017,34,156,0,0,0,0,0
Connecticut,2017,34,184,0,1,0.54,0,0.54
Delaware,2017,34,X,X,X,X,X,X
District of Columbia,2017,34,X,X,X,X,X,X
Florida,2017,34,888,38,14,5.86,4.28,1.58
Georgia,2017,34,343,5,5,2.92,1.46,1.46
Hawaii,2017,34,134,2,2,2.99,1.49,1.49
Idaho,2017,34,X,X,X,X,X,X
Illinois,2017,34,130,1,0,0.77,0.77,0
Indiana,2017,34,89,0,0,0,0,0
Iowa,2017,34,12,0,0,0,0,0
Kansas,2017,34,36,0,0,0,0,0
Kentucky,2017,34,200,0,0,0,0,0
Louisiana,2017,34,380,3,4,1.84,0.79,1.05
Maine,2017,34,X,X,X,X,X,X
Maryland,2017,34,17,1,0,5.88,5.88,0
Massachusetts,2017,34,90,1,0,1.11,1.11,0
Michigan,2017,34,220,2,0,0.91,0.91,0
Minnesota,2017,34,123,1,0,0.81,0.81,0
Mississippi,2017,34,X,X,X,X,X,X
Missouri,2017,34,303,0,0,0,0,0
Montana,2017,34,48,1,0,2.08,2.08,0
Nebraska,2017,34,63,0,0,0,0,0
Nevada,2017,34,X,X,X,X,X,X
New Hampshire,2017,34,X,X,X,X,X,X
New Jersey,2017,34,X,X,X,X,X,X
New Mexico,2017,34,88,0,0,0,0,0
New York,2017,34,790,4,1,0.63,0.51,0.13
North Carolina,2017,34,83,0,0,0,0,0
North Dakota,2017,34,X,X,X,X,X,X
Ohio,2017,34,506,5,1,1.19,0.99,0.2
Oklahoma,2017,34,117,0,0,0,0,0
Oregon,2017,34,X,X,X,X,X,X
Pennsylvania,2017,34,110,0,0,0,0,0
Rhode Island,2017,34,X,X,X,X,X,X
South Carolina,2017,34,122,0,0,0,0,0
South Dakota,2017,34,23,0,0,0,0,0
Tennessee,2017,34,37,0,1,2.7,0,2.7
Texas,2017,34,619,5,2,1.13,0.81,0.32
Utah,2017,34,404,4,0,0.99,0.99,0
Vermont,2017,34,11,0,0,0,0,0
Virginia,2017,34,113,0,0,0,0,0
Washington,2017,34,223,1,0,0.45,0.45,0
West Virginia,2017,34,225,0,0,0,0,0
Wisconsin,2017,34,267,2,0,0.75,0.75,0
Wyoming,2017,34,X,X,X,X,X,X
